Meeting Times

"Tuesday,Thursday", "10:30AM -12:20PM ", "Class ", "Health Sciences Building ", "GA80", "01-Jul-2024", "02-Aug-2024"
"Tuesday,Thursday", "01:00PM -02:50PM ", "Class ", "Health Sciences Building ", "GA80", "01-Jul-2024", "02-Aug-2024"
"Tuesday,Thursday", "03:00PM -04:50PM ", "Class ", "Health Sciences Building ", "GA80", "01-Jul-2024", "02-Aug-2024"
"Monday,Wednesday,Friday", "09:00AM -11:50AM ", "Class "01-Jul-2024", "02-Aug-2024Monday,Wednesday,Friday", "02:00PM -04:50PM ", "Class Start Date:01-Jul-2024End Date:02-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "09:00AM -10:50AM", "Class ", "John Mitchell Building ", "282", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "09:00AM -10:50AM", "Class ", "John Mitchell Building ", "282", "25-Jul-2024", "15-Aug-2024"
"None -", "Class ", "Not Applicable ", "NO",_ROOM "02-Jul-2024", "15-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -10:50AM", "Class ", "Arts Building ", "202", "25-Jul-2024", "15-Aug-2024"
"Tuesday,Wednesday,Thursday", "01:00PM -02:50PM", "Class ", "Thorvaldson Building ", "129", "02-Jul-2024", "15-Aug-2024"
"Tuesday,Wednesday,Thursday", "08:30AM -10:20AM", "Class ", "Thorvaldson Building ", "129", "02-Jul-2024", "15-Aug-2024"
"Tuesday,Wednesday,Thursday", "08:30AM -10:20AM", "Class ", "Thorvaldson Building ", "110", "02-Jul-2024", "15-Aug-2024"
"None -", "Class "01-Jul-2024", End Date:31-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday", "11:00AM -01:20PM", "Class ", "Geology Building ", "255", "25-Jul-2024", "15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "11:00AM -01:20PM", "Class ", "Geology Building ", "269", "25-Jul-2024", "15-Aug-2024Monday,Tuesday,Wednesday,Thursday,Friday", "02:00PM -04:50PM", "Class Building:Geology Building Room:255 Start Date:25-Jul-2024End Date:15-Aug-2024"
"Tuesday,Wednesday", "01:30PM -03:20PM", "Class ", "Arts Building ", "202", "02-Jul-2024", "15-Aug-2024"
"Thursday", "01:30PM -03:20PM", "Class ", "Arts Building ", "213", "02-Jul-2024", "15-Aug-2024
"Friday", "10:30AM -12:20PM", "Class ", "Arts Building ", "213", "02-Jul-2024", "15-Aug-2024
"Thursday", "10:30AM -12:20PM", "Class ", "Arts Building ", "217", "02-Jul-2024", "15-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday -", "Class "15-Jul-2024", "20-Jul-2024Monday,Tuesday,Wednesday,Thursday,Friday -", "Class Start Date:22-Jul-2024End Date:26-Jul-2024None -", "Class ", "Not Applicable ", "NO",_ROOM Start Date:08-Jul-2024End Date:12-Jul-2024None -", "Class Building:Not Applicable Room:NO_ROOM Start Date:29-Jul-2024End Date:16-Aug-2024"
"None -", "Class ", "Not Applicable ", "NO",_ROOM "01-Jul-2024", "20-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday", "09:00AM -10:20AM", "Class ", "Physics Building ", "103", "02-Jul-2024", "15-Aug-2024Monday,Wednesday,Friday", "10:30AM -11:20AM", "Class Building:Physics Building Room:103 Start Date:02-Jul-2024End Date:15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "08:30AM -09:50AM", "Class ", "Arts Building ", "134", "02-Jul-2024", "15-Aug-2024Monday,Tuesday,Wednesday,Thursday,Friday", "10:00AM -10:50AM", "Class Building:Arts Building Room:134 Start Date:02-Jul-2024End Date:15-Aug-2024"
"None -", "Class "22-Jul-2024", "25-Aug-2024
"None -", "Class "22-Jul-2024", "25-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday", "11:00AM -01:20PM", "Class ", "Agriculture Building ", "2C71", "02-Jul-2024", "22-Jul-2024"
"Friday", "08:30AM -06:30PM", "Class ", "Agriculture Building ", "2E25", "26-Jul-2024", "26-Jul-2024None -", "Class Building:Not Applicable Room:NO_ROOM Start Date:02-Jul-2024End Date:25-Jul-2024None -", "Class Building:Not Applicable Room:NO_ROOM Start Date:27-Jul-2024End Date:15-Aug-2024
"Monday,Tuesday,Wednesday,Thursday", "01:15PM -03:50PM", "Class ", "Arts Building ", "100", "25-Jul-2024", "15-Aug-2024"
"None -", "Class ", "Not Applicable ", "NO",_ROOM "02-Jul-2024", "15-Aug-2024
"Monday,Tuesday,Wednesday,Thursday,Friday", "11:00AM -01:20PM", "Class ", "Arts Building ", "134", "02-Jul-2024", "22-Jul-2024"
"Monday,Tuesday,Wednesday,Thursday,Friday", "11:00AM -12:20PM", "Class ", "Arts Building ", "102", "02-Jul-2024", "15-Aug-2024", "Tuesday,Wednesday,Thursday -", "Class Start Date:02-Jul-2024End Date:15-Aug-2024"
"Monday,Tuesday,Wednesday,Thursday", "01:30PM -03:20PM", "Class ", "Archaeology Building ", "112", "02-Jul-2024", "22-Jul-2024"
